id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,240,30,49,21/06/2022,0.29,3,365,0,
5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Shared room,66,30,50,02/12/2019,0.29,2,177,0,
5136,Rental unit in Brooklyn · ★4.75 · 2 bedrooms · 2 beds · 1.5 baths,7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,235,30,4,20/08/2023,0.03,1,65,1,
6848,Rental unit in Brooklyn · ★4.58 · 2 bedrooms · 1 bed · 1 bath,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81,30,191,14/08/2023,1.1,1,239,6,
6872,Condo in New York · 1 bedroom · 1 bed · 1 shared bath,16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,1,05/06/2022,0.07,2,365,0,
6990,Rental unit in New York · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Shared room,72,30,246,14/08/2023,1.46,1,278,7,
7064,Loft in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Shared room,95,30,13,12/09/2022,0.08,2,26,2,
7097,Home in Brooklyn · ★4.88 · 1 bedroom · 2 beds · 1 private bath,17571,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,205,2,344,27/08/2023,2.07,2,283,42,
7801,Place to stay in Brooklyn · ★4.88 · 1 bed · 1 bath,21207,Chaya,Brooklyn,Williamsburg,40.71880722,-73.95617676,Shared room,250,30,10,20/05/2023,0.06,1,297,1,
8490,Loft in Brooklyn · ★4.77 · 1 bedroom · 4 beds · 1 bath,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,170,30,189,21/08/2023,1.11,2,317,34,
9357,Rental unit in New York · ★4.52 · Studio · 1 bed · 1 bath,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,60,58,13/08/2017,0.34,1,311,0,
10452,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 2 beds · 1 shared bath,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90,30,83,05/08/2023,0.51,5,298,2,
11943,Home in Brooklyn · 1 bedroom · 2 beds · 1 bath,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,30,0,,,1,0,0,
12192,Rental unit in New York · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,80,30,308,22/08/2023,1.83,2,89,26,
12937,Townhouse in Queens · ★4.91 · 1 bedroom · 2 beds · 1 private bath,50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,165,30,381,26/08/2023,2.36,1,196,46,
12940,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed · 1 bath,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,125,30,76,01/05/2023,0.45,1,218,3,
